SMILES,TITLE,dockvalent_id,number_of_overlapping_fragments,overlapping_fragments,overlap_score
CCC(=O)NCC[C@H]1C[NH2+][C@H]2[C@@H](CN3CCN(CC3)C(=O)CCl)CCC[C@@H]12,DUN-NEW-f8c-24,111_ACL2ACR.0,0,,1110.3033986045548
CC(=O)NCC[C@H]1C[NH2+][C@@H]2[C@H](CN3CCN(CC3)C(=O)CCl)CCC[C@H]12,DUN-NEW-f8c-24,111_ACL.0,0,,1260.1554514724685
CS(=O)(=O)N(CCc1ccccc1)CC1CCN(CC1)C(=O)C,DUN-NEW-f8c-25,112_NCL.0,0,,1150.267854892439
CS(=O)(=O)N(CCc1ccccc1)CC1CCN(CC1)C(=O)CC,DUN-NEW-f8c-25,112_NCL2ACR.0,0,,1352.942402912202
CS(=O)(=O)NCC[C@H]1[C@@H]2[NH2+]C[C@@H](CCNC(=O)CC)[C@@H]2C[C@H](F)C1,PET-SGC-f81-1,113_ACL2ACR.0,0,,541.2733770775449
CS(=O)(=O)NCC[C@@H]1[C@H]2[NH2+]C[C@@H](CCNC(=O)C)[C@H]2C[C@@H](F)C1,PET-SGC-f81-1,113_ACL.0,0,,502.64658926628687
CC(=O)NCC[C@@H]1C[NH2+][C@@H]2[C@H](CN3CCN(CC3)C(=O)C)C[C@H](F)C[C@H]12,NAU-LAT-f72-1,124_NCL.0,0,,1283.4652224490314
CC(=O)NCC[C@H]1C[NH2+][C@H]2[C@H](CN3CCN(CC3)C(=O)CC)C[C@H](F)C[C@@H]12,NAU-LAT-f72-1,124_NCL2ACR.0,0,,1268.8781719515332
F[C@H]1C[C@@H](CN2CCN(CC2)C(=O)CCl)[C@H]2[NH2+]C[C@@H](CCNC(=O)CC)[C@H]2C1,NAU-LAT-f72-1,124_ACL2ACR.0,0,,1174.3176722707472
F[C@@H]1C[C@H](CN2CCN(CC2)C(=O)CCl)[C@@H]2[NH2+]C[C@H](CCNC(=O)C)[C@@H]2C1,NAU-LAT-f72-1,124_ACL.0,0,,1214.2429902160636
F[C@@H]1C[C@H](CN2CCN(CC2)C(=O)C#N)[C@@H]2[NH2+]C[C@H](CCNC(=O)CC)[C@@H]2C1,NAU-LAT-f72-2,125_ACL2ACR.0,0,,1379.3887077093038
F[C@H]1C[C@@H](CN2CCN(CC2)C(=O)C#N)[C@@H]2[NH2+]C[C@H](CCNC(=O)C)[C@@H]2C1,NAU-LAT-f72-2,125_ACL.0,0,,1254.6337199823226
CS(=O)(=O)N1CCN([C@H](C1)c1ccccc1)C(=O)CC,NAU-LAT-f72-4,127_ACR.0,0,,1352.6226890029045
Cc1ccc(NCc2ccccc2)c(c1)S(=O)(=O)N1CCN(CC1)C(=O)C,NAU-LAT-f72-5,128_NCL.0,0,,1300.0042814040914
Cc1ccc(NCc2ccccc2)c(c1)S(=O)(=O)N1CCN(CC1)C(=O)CC,NAU-LAT-f72-5,128_NCL2ACR.0,0,,1085.915796693453
Cc1cc(no1)CCC(=O)N1CCN(CC1)S(=O)(=O)c1ccc(Cl)cc1,NAU-LAT-f72-6,129_ACR.0,0,,1558.1737781022096
CS(=O)(=O)NCC[C@@H]1[C@@H]2[NH2+][C@H]3[C@H](CCN(C3)C(=O)CC)[C@@H]2CCC1,ELE-IMP-dfb-3,324_ACL2ACR.0,0,,820.7426569628058
CS(=O)(=O)NCC[C@@H]1[C@H]2[NH2+][C@@H]3[C@@H](CCN(C3)C(=O)C)[C@H]2CCC1,ELE-IMP-dfb-3,324_ACL.0,0,,826.7873539848816
C(=[NH2])c1ccccc1c1cc(cn(c2ccccc2)c1=O)c1ccccn1,GER-UNI-cfb-1,512_NIT.0,0,,1755.801236640324
CC(=O)N1CC[C@@H]([C@@H](CCc2ccccc2)C1)C(=O)N1CCCCC1,PAU-WEI-c6d-1,594_NCL.0,0,,1341.1184620343888
CCC(=O)N1CC[C@@H]([C@@H](CCc2ccccc2)C1)C(=O)N1CCCCC1,PAU-WEI-c6d-1,594_NCL2ACR.0,0,,1201.0852492943152
Oc1ccc(C[C@@H](NC(=O)CC)C(=O)NCC#CBr)c(c1)S(=O)(=O)NCCc1ccccc1,MAK-UNK-c44-2,600_ACL2ACR.0,0,,1087.3735246091244
Oc1ccc(C[C@@H](NC(=O)C)C(=O)NCC#CBr)c(c1)S(=O)(=O)NCCc1ccccc1,MAK-UNK-c44-2,600_ACL.0,0,,996.3074018999564
Oc1ccc(cc1)[C@@H]([C@@H](NC(=O)CC)C(=O)NCC#CBr)S(=O)(=O)NCCc1ccccc1,MAK-UNK-c44-5,603_ACL2ACR.0,0,,1061.0023443211592
Oc1ccc(cc1)[C@@H]([C@@H](NC(=O)C)C(=O)NCC#CBr)S(=O)(=O)NCCc1ccccc1,MAK-UNK-c44-5,603_ACL.0,0,,1262.048363082949
Oc1ccc(C[C@](NC(=O)CC)(C(=O)NCC#CBr)S(=O)(=O)NCCc2ccccc2)cc1,MAK-UNK-c44-6,604_ACL2ACR.0,0,,1430.0357035662287
Oc1ccc(C[C@](NC(=O)C)(C(=O)NCC#CBr)S(=O)(=O)NCCc2ccccc2)cc1,MAK-UNK-c44-6,604_ACL.0,0,,1166.1709874250255
Oc1ccc(C[C@H](NC(=O)CC)C(=O)N[C@H](C#CBr)S(=O)(=O)NCCc2ccccc2)cc1,MAK-UNK-c44-7,605_ACL2ACR.0,0,,576.1358692036928
Oc1ccc(C[C@H](NC(=O)C)C(=O)N[C@H](C#CBr)S(=O)(=O)NCCc2ccccc2)cc1,MAK-UNK-c44-7,605_ACL.0,0,,1091.5549928991998
F[C@H]1C[C@@H](CC(=O)NC2CCNCC2)[C@@H]2[NH2+]C[C@H](CCNC(=O)CC)[C@H]2C1,TAM-UNI-c14-2,653_ACL2ACR.0,0,,1235.1233366900144
F[C@@H]1C[C@H](CC(=O)NC2CCNCC2)[C@H]2[NH2+]C[C@@H](CCNC(=O)C)[C@H]2C1,TAM-UNI-c14-2,653_ACL.0,0,,701.2115219481648
F[C@@H]1C[C@H](NCC(=O)N[C@@H]2CCCNC2)[C@H]2[NH2+]C[C@@H](CCNC(=O)CC)[C@H]2C1,TAM-UNI-c14-3,654_ACL2ACR.0,0,,1220.9741160497074
F[C@H]1C[C@@H](NCC(=O)N[C@@H]2CCCNC2)[C@H]2[NH2+]C[C@@H](CCNC(=O)C)[C@H]2C1,TAM-UNI-c14-3,654_ACL.0,0,,908.544676650409
