SMILES,TITLE,dockvalent_id,cluster
O[C@@H]1CC[N@@H+](C[C@H]2[C@H]3[NH2+]C[C@@H](/C=C/NC(=O)C)[C@H]3C[C@@H](F)C2)CC1,SAM-UNK-83e-1,1358_ACL.0,4
CS(=O)(=O)NCC[C@@H]1[C@H]2[NH2+]C[C@@H](/C=C/NC(=O)CC)[C@H]2C[C@@H](F)C1,SAM-UNK-83e-2,1359_ACL2ACR.0,0
CS(=O)(=O)NCC[C@H]1[C@H]2[NH2+]C[C@@H](/C=C/NC(=O)C)[C@H]2C[C@@H](F)C1,SAM-UNK-83e-2,1359_ACL.0,4
CS(=O)(=O)N/C=C/[C@H]1[C@@H]2[NH2+]C[C@H](/C=C/NC(=O)C)[C@@H]2C[C@@H](F)C1,SAM-UNK-83e-3,1360_ACL.0,4
CCCNc1cc(Nc2nccc(n2)C(=O)N)c(NC(=O)CC)cc1N(C)C,STE-LAU-835-1,1363_ACR.0,8
Cc1nnc(CN2CC[C@H]([C@@H](F)C2)S(=O)(=O)NCCc2ccccc2)s1,MAK-UNK-814-5,1387_SUL.0,4
CS(=O)(=O)NCC[C@H]1C[C@H](F)C[C@H]2[C@H]1[NH2+]C[C@@H]2CCNC(=O)CC,SAM-UNI-7fd-1,1446_ACL2ACR.0,0
CS(=O)(=O)NCC[C@H]1C[C@H](F)C[C@H]2[C@H]1[NH2+]C[C@@H]2CCNC(=O)C,SAM-UNI-7fd-1,1446_ACL.0,0
C[C@@H]1C[C@H](CCNS(=O)(=O)C)[C@H]2[NH2+]C[C@@H](CCNC(=O)CC)[C@@H]2C1,HAN-NEW-5f5-2,1801_ACL2ACR.0,0
C[C@@H]1C[C@H](CCNS(=O)(=O)C)[C@H]2[NH2+]C[C@@H](CCNC(=O)C)[C@H]2C1,HAN-NEW-5f5-2,1801_ACL.0,0
CC(=O)NCC[C@@H]1C[NH2+][C@@H]2[C@H](CCC[C@@H]3CN(CCN3C(=O)C)C(=O)C)CCC[C@H]12,HAN-NEW-5f5-4,1803_NCL.0,0
CC(=O)NCC[C@H]1C[NH2+][C@H]2[C@@H](CCC[C@@H]3CN(CCN3C(=O)C)C(=O)CC)CCC[C@@H]12,HAN-NEW-5f5-4,1803_NCL2ACR.0,0
CC(=O)N1CCN(C[C@@H]1CCC[C@H]1[C@H]2[NH2+]C[C@@H](CCNC(=O)CC)[C@H]2CCC1)C(=O)CCl,HAN-NEW-5f5-4,1803_ACL2ACR.0,0
CC(=O)N1CCN(C[C@@H]1CCC[C@@H]1[C@@H]2[NH2+]C[C@H](CCNC(=O)C)[C@@H]2CCC1)C(=O)CCl,HAN-NEW-5f5-4,1803_ACL.0,0
Cc1ccc(cc1)N([C@@H]1CS(=O)(=O)C=C1)C(=O)CCCN(C(=O)CC)c1cnccc1C,HAN-NEW-5f5-5,1804_ACL2ACR.0,8
Cc1ccc(cc1)N([C@@H]1CS(=O)(=O)C=C1)C(=O)CCCN(C(=O)C)c1cnccc1C,HAN-NEW-5f5-5,1804_ACL.0,8
NS(=O)(=O)[C@@H]1CC=C(CC(=O)OC(=O)C(=O)C2=CCC=C2)C(=O)C1,WIL-LEE-364-9,2151_SUL.0,13
CO[C@H]1[C@@H](OS(=O)(=O)O)C[C@H]2[NH2+]C[C@@H](CCNC(=O)CC)[C@H]2C1,WIL-LEE-364-13,2155_ACL2ACR.0,0
CO[C@@H]1[C@H](OS(=O)(=O)O)C[C@@H]2[NH2+]C[C@H](CCNC(=O)C)[C@@H]2C1,WIL-LEE-364-13,2155_ACL.0,7
CC(=O)C(=O)C1=C[C@@H]2[C@H](C1)C(=O)N=[S@]2(=O)C(=O)C,WIL-LEE-364-19,2161_ACR.0,19
CNC(=O)CCCCS(=O)(=O)C(=O)C1=COC=CC1,WIL-LEE-364-31,2173_ACR.0,15
CCC(=O)N1CCN([C@H](C1)NCCc1ccccc1)S(=O)(=O)c1cccc(Cl)c1,BEN-DND-362-1,2189_ACL2ACR.0,15
CC(=O)N1CCN([C@H](C1)NCCc1ccccc1)S(=O)(=O)c1cccc(Cl)c1,BEN-DND-362-1,2189_ACL.0,15
CNc1ncccc1CCN[C@H]1CN(CCN1S(=O)(=O)c1cccc(Cl)c1)C(=O)CC,BEN-DND-362-2,2190_ACL2ACR.0,15
CNc1ncccc1CCN[C@H]1CN(CCN1S(=O)(=O)c1cccc(Cl)c1)C(=O)C,BEN-DND-362-2,2190_ACL.0,15
CCNc1ncc(cc1CCN[C@H]1CN(CCN1S(=O)(=O)c1cccc(Cl)c1)C(=O)CC)C#N,BEN-DND-362-3,2191_ACL2ACR.0,12
CCNc1ncc(cc1CCN[C@H]1CN(CCN1S(=O)(=O)c1cccc(Cl)c1)C(=O)C)C#N,BEN-DND-362-3,2191_ACL.0,15
C[C@@H]1C[C@@H]2C[C@H](Cl)C[C@H](CCN[C@H]3CN(CCN3S(=O)(=O)[C@@H]3CCC[C@@H](Cl)C3)C(=O)CC)[C@@H]2[NH2+]1,BEN-DND-362-4,2192_ACL2ACR.0,0
C[C@H]1C[C@H]2C[C@@H](Cl)C[C@@H](CCN[C@H]3CN(CCN3S(=O)(=O)[C@H]3CCC[C@@H](Cl)C3)C(=O)C)[C@H]2[NH2+]1,BEN-DND-362-4,2192_ACL.0,9
CC(=O)N(CCc1ccccc1)[C@H]1CN(CCN1S(=O)(=O)c1cccc(Cl)c1)C(=O)CC,BEN-DND-362-5,2193_ACL2ACR.0,15
CC(=O)N(CCc1ccccc1)[C@H]1CN(CCN1S(=O)(=O)c1cccc(Cl)c1)C(=O)C,BEN-DND-362-5,2193_ACL.0,15
CS(=O)(=O)NCCc1cc(Cl)c[n+]2c(CCNC(=O)CC)c[nH]c12,BEN-DND-362-7,2195_ACL2ACR.0,2
CS(=O)(=O)NCCc1cc(Cl)c[n+]2c(CCNC(=O)C)c[nH]c12,BEN-DND-362-7,2195_ACL.0,2
Fc1cc(O[C@@H]2C=C=CC[C@@H]2C(=O)NCc2cccc(c2)c2cccc(=O)[nH]2)ccc1,JAS-UNI-326-1,2215_ACR.0,15
Cc1cccc([C@H]2CCN(CC2)/N=c\2/[nH+]cc(NC(=O)CC)c[nH]2)c1Cl,LUI-IND-2c4-1,2288_ACL2ACR.0,18
Cc1cccc([C@@H]2CCN(CC2)/N=c\2/[nH+]cc(NC(=O)C)c[nH]2)c1Cl,LUI-IND-2c4-1,2288_ACL.0,19
CCC(=O)NC[C@H]1C[NH2+][C@H]2CC[C@H](C[C@@H]12)C#N,SCO-VAN-260-5,2345_ACL2ACR.0,0
CC(=O)NC[C@@H]1C[NH2+][C@@H]2CC[C@H](C[C@@H]12)C#N,SCO-VAN-260-5,2345_ACL.0,4
CO[C@@H]1CC[N@@H+](C[C@H]2[C@H]3[NH2+]C[C@H](CNC(=O)CC)[C@@H]3C[C@H](F)C2)CC1,SCO-VAN-260-6,2346_ACL2ACR.0,4
CO[C@@H]1CC[N@@H+](C[C@H]2[C@@H]3[NH2+]C[C@@H](CNC(=O)C)[C@@H]3C[C@H](F)C2)CC1,SCO-VAN-260-6,2346_ACL.0,4
Cc1nnc(C[C@@H]2[C@@H]3[NH2+]C[C@H](CNC(=O)CC)[C@@H]3C[C@H](F)C2)s1,SCO-VAN-260-7,2347_ACL2ACR.0,4
Cc1nnc(C[C@@H]2[C@@H]3[NH2+]C[C@H](CNC(=O)C)[C@@H]3C[C@H](F)C2)s1,SCO-VAN-260-7,2347_ACL.0,4
Cc1nnc(C[C@@H]2[C@@H]3[NH2+]C[C@H](CNC(=O)CC)[C@@H]3C[C@H](F)C2)o1,SCO-VAN-260-8,2348_ACL2ACR.0,4
Cc1nnc(C[C@@H]2[C@@H]3[NH2+]C[C@H](CNC(=O)C)[C@@H]3C[C@H](F)C2)o1,SCO-VAN-260-8,2348_ACL.0,4
C[C@H](NC(=O)OC(C)(C)C)c1ccc(CNC(=O)CC)cc1,VIJ-CYC-1a3-10,2485_ACR.0,1
C[NH2+]C[C@@H]1C[N@H+]([C@H](C)NC(=O)CCCNC(=O)CC)[C@@H](C1)[C@@H]1CCCC[C@@H]1F,MAK-UNK-095-2,2629_ACL2ACR.0,7
C[NH2+]C[C@@H]1C[N@H+]([C@H](C)NC(=O)CCCNC(=O)C)[C@@H](C1)[C@@H]1CCCC[C@H]1F,MAK-UNK-095-2,2629_ACL.0,7
Oc1ccc(C[C@H](NC(=O)C)C(=O)NCC#CBr)cc1S(=O)(=O)NCCc1ccccc1,MAK-UNK-c44-1,599_ACL.1,8
Oc1ccc(C[C@H](NC(=O)CC)C(=O)NCC#CBr)cc1S(=O)(=O)NCCc1ccccc1,MAK-UNK-c44-4,602_ACL2ACR.1,8
F[C@H]1C[C@@H](NC[C@H]2CC[C@H]3NC[NH2+][C@H]3C2)[C@@H]2[NH2+]C[C@H](CCNC(=O)CC)[C@@H]2C1,ANT-OPE-b90-1,727_ACR.1,0
C[C@@H](CCc1ccccc1)N1CCN(CC1)C(=O)CC,MAK-UNK-af8-2,926_NCL2ACR.1,16
CC[NH2+][C@H](COc1cccc(CN2CCN(CC2)C(=O)C)c1)OCC#N,MAK-UNK-af8-20,944_NCL.1,3
C[C@H]1C[C@@H](CN2CCN(CC2)C(=O)C)C[C@H](C1)[NH2+]CCNc1ccc(cn1)C#N,MAK-UNK-af8-23,947_NCL.1,3
CO[C@@H]1CN(C[C@H]1CN1CCN(CC1)C(=O)CC)C(=O)CCNc1ccc(cn1)C#N,MAK-UNK-af8-26,950_NCL2ACR.1,16
Cc1ccc(OCCCC[C@@H]2[NH2+]C[C@H](CC2=O)c2cc(C)cc(CN3CCN(CC3)C(=O)CC)c2)cc1,MAK-UNK-af8-33,957_NCL2ACR.1,16
NS(=O)(=O)c1ccc2ccc(CN3CCCN(CC3)C(=O)CC)cc2c1,MIH-UNI-6b9-9,1676_ACL2ACR.1,16
NS(=O)(=O)c1ccc2ccc(CN3CCCN(CC3)C(=O)C)cc2c1,MIH-UNI-6b9-9,1676_ACL.1,3
COC1=C(C=CC1)C1=CCC(=C1)OS(=O)(=O)C(=O)NC(=O)CC,WIL-LEE-364-15,2157_ACL2ACR.1,8
COC1=C(C=CC1)C1=CCC(=C1)OS(=O)(=O)C(=O)NC(=O)C,WIL-LEE-364-15,2157_ACL.1,15
CCC(=O)NC(=O)S(=O)(=O)CC(=O)CCOC1=CCC=CC1,WIL-LEE-364-33,2175_ACL2ACR.1,1
C[C@@H]1C[C@H](C[NH2+]CNc2ccc(cn2)C#N)C[C@H](CN2CCN(CC2)C(=O)C)C1,MAK-UNK-af8-24,948_NCL.2,3
CCNc1ncc(F)cc1CN1CCN(CC1)C(=O)C,DAR-DIA-fb2-1,38_NCL.0,3
CCNc1ncc(F)cc1CN1CCN(CC1)C(=O)CC,DAR-DIA-fb2-1,38_NCL2ACR.0,16
Fc1cc(CN2CCN(CC2)C(=O)C)c2ccccc2c1,DAR-DIA-fb2-2,39_NCL.0,3
Fc1cc(CN2CCN(CC2)C(=O)CC)c2ccccc2c1,DAR-DIA-fb2-2,39_NCL2ACR.0,16
CCNc1ccc(cc1CN1CCN(CC1)C(=O)C)C#N,DAR-DIA-fb2-3,40_NCL.0,3
CCNc1ccc(cc1CN1CCN(CC1)C(=O)CC)C#N,DAR-DIA-fb2-3,40_NCL2ACR.0,16
CCNc1ncc(cc1CN1CCN(CC1)C(=O)C)C#N,DAR-DIA-fb2-4,41_NCL.0,3
CCNc1ncc(cc1CN1CCN(CC1)C(=O)CC)C#N,DAR-DIA-fb2-4,41_NCL2ACR.0,16
CCNc1ncc(OC)cc1CN1CCN(CC1)C(=O)C,DAR-DIA-fb2-5,42_NCL.0,3
CCNc1ncc(OC)cc1CN1CCN(CC1)C(=O)CC,DAR-DIA-fb2-5,42_NCL2ACR.0,16
CC(=O)N1CCN(Cc2cc(cc3ccccc23)C#N)CC1,DAR-DIA-fb2-6,43_NCL.0,3
CCC(=O)N1CCN(Cc2cc(cc3ccccc23)C#N)CC1,DAR-DIA-fb2-6,43_NCL2ACR.0,16
COc1cc(CN2CCN(CC2)C(=O)C)c2ccccc2c1,DAR-DIA-fb2-7,44_NCL.0,3
COc1cc(CN2CCN(CC2)C(=O)CC)c2ccccc2c1,DAR-DIA-fb2-7,44_NCL2ACR.0,16
CC(=O)N1CCN(Cc2cc(Cl)cc3ccccc23)CC1,DAR-DIA-fb2-8,45_NCL.0,3
CCC(=O)N1CCN(Cc2cc(Cl)cc3ccccc23)CC1,DAR-DIA-fb2-8,45_NCL2ACR.0,16
NS(=O)(=O)c1ccc2c(CN3CCN(CC3)C(=O)C)cccc2c1,DAR-DIA-fb2-9,46_NCL.0,3
NS(=O)(=O)c1ccc2c(CN3CCN(CC3)C(=O)CC)cccc2c1,DAR-DIA-fb2-9,46_NCL2ACR.0,16
CC(=O)NCCC1=CCc2c(CN3CCN(CC3)C(=O)C)cc(F)cc12,DAR-DIA-fb2-10,47_NCL.0,3
CC(=O)NCCC1=CCc2c(CN3CCN(CC3)C(=O)CC)cc(F)cc12,DAR-DIA-fb2-10,47_NCL2ACR.0,16
Fc1cc(CN2CCN(CC2)C(=O)CCl)c2CC=C(CCNC(=O)CC)c2c1,DAR-DIA-fb2-10,47_ACL2ACR.0,16
