SMILES,TITLE,dockvalent_id,number_of_overlapping_fragments,overlapping_fragments,overlap_score,scaffold,scaffold_generic
CCC(=O)NCC[N@H+]1C[C@@H](CC(=O)N[C@@H]2CCCNC2)[C@H]2CCCC[C@@H]12,DUN-NEW-f8c-9,96_ACL2ACR.0,0,,977.042012837002,O=C(CC1C[NH2+]C2CCCCC12)NC1CCCNC1,CC(CC1CCCCC1)CC1CCC2CCCCC21
CC(=O)NCC[N@@H+]1C[C@H](CC(=O)N[C@H]2CCCNC2)[C@@H]2CCCC[C@H]12,DUN-NEW-f8c-9,96_ACL.0,0,,1648.2329989089758,O=C(CC1C[NH2+]C2CCCCC12)NC1CCCNC1,CC(CC1CCCCC1)CC1CCC2CCCCC21
CS(=O)(=O)NCC[C@H]1[C@@H]2[NH2+]C[C@H](CCNC(=O)CC)[C@@H]2CCC1,DUN-NEW-f8c-10,97_ACL2ACR.0,0,,1253.879134958876,C1CCC2[NH2+]CCC2C1,C1CCC2CCCC2C1
CS(=O)(=O)NCC[C@@H]1[C@@H]2[NH2+]C[C@H](CCNC(=O)C)[C@@H]2CCC1,DUN-NEW-f8c-10,97_ACL.0,0,,1457.6332611389355,C1CCC2[NH2+]CCC2C1,C1CCC2CCCC2C1
O[C@@H]1CC[N@@H+](C[C@@H]2[C@@H]3[NH2+]C[C@H](CCNC(=O)CC)[C@@H]3CCC2)CC1,DUN-NEW-f8c-11,98_ACL2ACR.0,0,,1143.428615641705,C1CC[NH+](CC2CCCC3CC[NH2+]C32)CC1,C1CCC(CC2CCCC3CCCC32)CC1
O[C@@H]1CC[N@@H+](C[C@H]2[C@H]3[NH2+]C[C@H](CCNC(=O)C)[C@H]3CCC2)CC1,DUN-NEW-f8c-11,98_ACL.0,0,,885.6476057333322,C1CC[NH+](CC2CCCC3CC[NH2+]C32)CC1,C1CCC(CC2CCCC3CCCC32)CC1
CCC(=O)NCC[C@H]1C[NH2+][C@H]2CC[C@H](C[C@@H]12)C#N,DUN-NEW-f8c-12,99_ACL2ACR.0,0,,938.2190031283354,C1CCC2[NH2+]CCC2C1,C1CCC2CCCC2C1
CC(=O)NCC[C@H]1C[NH2+][C@H]2CC[C@H](C[C@@H]12)C#N,DUN-NEW-f8c-12,99_ACL.0,0,,1485.6051905802826,C1CCC2[NH2+]CCC2C1,C1CCC2CCCC2C1
CCC(=O)NCC[C@H]1C[N@@H+](CC(=O)N2CCOCC2)[C@H]2CCCC[C@@H]12,DUN-NEW-f8c-13,100_ACL2ACR.0,0,,1397.7969614843225,O=C(C[NH+]1CCC2CCCCC21)N1CCOCC1,CC(CC1CCC2CCCCC21)C1CCCCC1
CC(=O)NCC[C@H]1C[N@@H+](CC(=O)N2CCOCC2)[C@H]2CCCC[C@@H]12,DUN-NEW-f8c-13,100_ACL.0,0,,1255.86048426562,O=C(C[NH+]1CCC2CCCCC21)N1CCOCC1,CC(CC1CCC2CCCCC21)C1CCCCC1
CC(=O)NCC[C@@H]1C[NH2+][C@@H]2[C@H](CNC(=O)C)CCC[C@H]12,DUN-NEW-f8c-21,108_NCL.0,0,,1624.5096085857392,C1CCC2[NH2+]CCC2C1,C1CCC2CCCC2C1
